,slang,formal,
554,dibudigunawankan,di budi gunawankan,
555,dicuekin,dicueki,
556,didenger,didengar,
557,didengerin,didengarkan,
558,didiemin,didiamkan,
559,didlam,di dalam,
560,didzalimi,dizalimi,
561,die,dia,
562,diem,diam,
563,diem2,diam diam,
564,digembosin,digembosi,
565,diginiin,dibeginikan,
566,dijadiin,dijadikan,
567,dijatohin,dijatuhi,
568,dijdkn,dijadikan,
569,dikenyataanya,pada kenyataannya,
570,dikirain,dikiranya,
571,dikit,sedikit,
572,dimance,di mana,
573,dimandose,di mana sih,
574,dimans,dimana,
575,dimonitoring,dipantau,
576,dinaikin,dinaiki,
577,dinegri,di negeri,
578,dipake,dipakai,
579,dipemjara,di penjara,
580,diperes,diperas,
581,dipikirin,dipikirkan,
582,dipilkada,di pilkada,
583,diprose,diproses,
584,dirix,dirinya,
585,dirmh,di rumah,
586,disalahgunakan,disalah gunakan,
587,disamarinda,di samarinda,
588,disewotin,disewoti,
589,disumpahdisumpahin,disumpahi,
590,ditemenin,ditemani,
591,ditentukn,ditentukan,
592,ditetapknnya,ditetapkan,
593,ditrsangkakan,ditersangkakan,
594,dittapkn,ditetapkan,
595,diyem,diam,
596,dizhalimi,dizalimi,
597,dizholimi,dizalimi,
598,dizolimi,dizalimi,
599,djakarta,di jakarta,
600,djasatuputaran,di satu putaran,
601,djkt,di jakarta,
602,djl,di jalan,
603,djln,di jalan,
604,djmin,dijamin,
605,dkat,dekat,
606,dket,dekat,
607,dkijakarta,dki jakarta,
608,dkls,di kelas,
609,dkmps,di kampus,
610,dkmr,di kamar,
611,dkntr,di kantor,
612,dksh,dikasih,
613,dkt,dekat,
614,dl,dulu,
615,dlm,dalam,
616,dlmnya,dalamnya,
617,dlrng,dilarang,
618,dlu,dulu,
619,dluan,duluan,
620,dmana,di mana,
621,dmkn,dimakan,
622,dmn,di mana,
623,dmna,di mana,
624,dmnmn,di mana mana,
625,dmny,di mana,
626,dn,dan,
627,dng,dengan,
628,dngan,dengan,
629,dngar,dengar,
630,dnger,dengar,
631,dngerin,dengarkan,
632,dngn,dengan,
633,dngr,dengar,
634,doain,doakan,
635,doank,doang,
636,doi,dia,
637,dongok,dungu,
638,donlot,unduh,
639,dont,do not,
640,doyan,suka,
641,dp,uang muka,
642,dpan,depan,
643,dpet,dapat,
644,dpk,depok,
645,dpkrkn,dipikirkan,
646,dpn,depan,
647,dpnrmh,di depan rumah,
648,dpt,dapat,
649,dr,dari,
650,drg,dokter gigi,
651,drh,darah,
652,dri,dari,
653,drmh,di rumah,
654,drmn,dari mana,
655,drpd,daripada,
656,drtd,dari tadi,
657,drumah,di rumah,
658,dsar,dasar,
659,dsb,dan sebagainya,
660,dsblh,di sebelah,
661,dsini,di sini,
662,dsklh,di sekolah,
663,dsni,di sini,
664,dsnii,di sini,
665,dst,dan seterusnya,
666,dtetapak,ditetapkan,
667,dtg,datang,
668,dtgn,datang,
669,dtgny,datangnya,
670,dtmbh,di tambah,
671,dtmpt,di tempat,
672,dtng,datang,
673,dttapkn,ditetapkan,
674,dtuntut,dituntun,
675,duabelas,dua belas,
676,duaduanya,dua duanya,
677,duchh,aduh,
678,duh,aduh,
679,duit2,duit duit,
680,dukungahok,dukung ahok,
681,dukungfatwa,dukung fatwa,
682,dukungfatwamui,dukung fatwa mui,
683,duluan,lebih dahulu,
684,duluw,dahulu,
685,dunk,dong,
686,durung,belum,
687,dy,dia,
688,dya,dia,
689,dzolim,zalim,
690,dzolimi,dizalimi,
691,ea,iya,
692,eagles,elang,
693,ealah,iyalah,
694,ech,eh,
695,eehh,eh,
696,egak,tidak,
697,egh,eh,
698,ehh,eh,
699,ekong,kakek,
700,elech,alah,
701,elee,alah,
702,elektibilitas,elektabilitas,
703,elit,elite,
704,elo,kamu,
705,elu,kamu,
706,eman,sayang,
707,emang,memang,
708,emangnya,memangnya,
709,emank,memang,
710,emg,memang,
711,emng,memang,
712,en,dan,
713,ending,akhir,
714,endingnya,akhirnya,
715,engga,tidak,
716,enggak,tidak,
717,enjarakanahok,penjarakan ahok,
718,enk,enak,
719,entar,nanti,
720,ente,kamu,
721,entee,kamu,
722,erti,mengerti,
723,esbeye,susilo bambang yudhoyono,
724,eskrim,es krim,
725,eteb,bosan,
726,everythings,segalanya,
727,faham,paham,
728,fanati,fanatik,
729,fb,facebook,
730,fcked,fuck,
731,fears,fear,
732,feb,februari,
733,fikir,pikir,
734,fikiran,pikiran,
735,finah,fitnah,
736,follback,ikuti,
737,follbek,ikuti,
738,followback,ikuti,
739,follower,pengikut,
740,followers,pengikut,
741,freeahok,free ahok,
742,futures,masa depan,
743,g,tidak,
744,ga,tidak,
745,gaada,tidak ada,
746,gabakal,tidak akan,
747,gaberani,tidak berani,
748,gabisa,tidak bisa,
749,gaboleh,tidak boleh,
750,gabut,kurang kerjaan,
751,gada,tidak ada,
752,gaenak,tidak enak,
753,gaikut,tidak ikut,
754,gajadi,tidak jadi,
755,gajelas,tidak jelas,
756,gak,tidak,
757,gakuat,tidak kuat,
758,gakz,tidak,
759,galak2,galak galak,
760,galo,galau,
761,gamasuk,tidak masuk,
762,gamau,tidak mau,
763,ganbate,semangat,
764,ganyangahok,ganyang ahok,
765,ganyangcina,ganyang cina,
766,gapake,tidak pakai,
767,gapapa,tidak apa apa,
768,gapapalah,tidak apalah,
769,gapape,tidak apa,
770,gapedulisamastatus,tidak peduli dengan status,
771,gapernah,tidak pernah,
772,gapunya,tidak punya,
773,gara2,gara gara,
774,garangangarangan,garang,
775,garem,garam,
776,gasuka,tidak suka,
777,gatau,tak tau,
778,gataw,tak tau,
779,gatel,gatal,
780,gausah,tidak usah,
781,gawe,kerja,
782,gbr,gambar,
783,gdg,gudang,
784,gece,gerak cepat,
785,gelaja,gejala,
786,gelarperkarasudahdiumumkan,gelar perkara sudah umum,
787,gelik,geli,
788,gelo,gila,
789,gemes,gemas,
790,gengges,ganggu,
791,genks,geng,
792,gera,gerak,
793,gerja,gereja,
794,ggl,gagal,
795,ghiy,lagi,
796,gi,lagi,
797,gilak,gila,
798,gile,gila,
799,gilla,gila,
800,gimana,bagaimana,
801,gimanapun,bagaimanapun,
802,gin,begini,
803,ginian,beginian,
804,gitu,begitu,
805,gituan,begitu,
806,gituh,begitu,
807,gk,tidak,
808,gmana,bagaimana,
809,gmbr,gambar,
810,gmn,bagaimana,
811,gmna,bagaimana,
812,gmpg,gampang,
813,gmpng,gampang,
814,gni,begini,
815,gnti,ganti,
816,goblog,goblok,
817,goblog2in,goblok goblokin,
818,going,pergi,
819,gonna,pergi,
820,gosipin,menggosipkan,
821,gov,gubernur,
822,governo,gubernur,
823,governoor,gubernur,
824,governor,gubernur,
825,governour,gubernur,
826,govt,pemerintah,
827,goyangin,goyangkan,
828,gpl,tidak pakai lama,
829,gpny,tidak punya,
830,gpp,tidak apa apa,
831,gprnh,tidak pernah,
832,gr,gede rasa,
833,gr2,gara gara,
834,gratisan,gratis,
835,gregetan,geregetan,
836,gt,begitu,
837,gtu,begitu,
838,gtw,tak tau,
839,gua,gue,
840,gub,gubernur,
841,gubatauwalkot,gubernur atau walikota,
842,gubenur,gubernur,
843,guberenur,gubernur,
844,guemewek,gue mewek,
845,guoblog,goblok,
846,gurbenur,gubernur,
847,guwe,gue,
848,gw,gue,
849,gwe,gue,
850,gws,semoga lekas sembuh,
851,gx,tidak,
852,ha,apa,
853,habaib,habib,
854,hacur,hancur,
855,hadeh,aduh,
856,hadeuh,aduh,
